security,datetime,open,high,low,close,RSI,STOCHASTIC,ATR
EUR_USD,2011-05-23 21:00:00,1.40998,1.41332,1.40476,1.40021,43.49818898567537,-5.824458363774322,0.00960714492880788
EUR_USD,2011-05-24 21:00:00,1.4088,1.41184,1.41001,1.40138,43.8808061487447,-8.628899540197205,0.010011715943046309
EUR_USD,2011-05-25 21:00:00,1.41443,1.42068,1.40878,1.40681,45.64788430246447,-2.1357220817297446,0.011869372754437021
EUR_USD,2011-05-26 21:00:00,1.43175,1.43242,1.4144,1.41252,47.44797074128259,6.1987397949072935,0.014617498203549645
EUR_USD,2011-05-27 21:00:00,1.43175,1.43175,1.43175,1.43175,52.88433629725126,31.078456211468662,0.015539998562839732
EUR_USD,2011-05-28 21:00:00,1.43231,1.43335,1.43175,1.43091,52.63827457168005,52.55449625895981,0.012751998850271751
EUR_USD,2011-05-29 21:00:00,1.42821,1.43228,1.43228,1.42573,51.12091212451896,64.61121935219212,0.01047559908021742
EUR_USD,2011-05-30 21:00:00,1.43965,1.44244,1.4283,1.42791,51.72673318540545,62.297012677804524,0.011722479264173937
EUR_USD,2011-05-31 21:00:00,1.43283,1.44587,1.43967,1.43212,52.89315111604058,61.274083295463214,0.012969983411339144
EUR_USD,2011-06-01 21:00:00,1.44917,1.4514,1.43281,1.43073,52.460205401579294,61.224465713896855,0.014231986729071309
EUR_USD,2011-06-02 21:00:00,1.46353,1.46426,1.44915,1.44512,56.29169150196507,63.35563368002172,0.018091589383257015
EUR_USD,2011-06-03 21:00:00,1.46353,1.46353,1.46353,1.46353,60.50451843547953,74.09562006620841,0.01815527150660562
EUR_USD,2011-06-04 21:00:00,1.46118,1.46353,1.46353,1.46078,59.616588090779615,86.91876750700293,0.014524217205284497
EUR_USD,2011-06-05 21:00:00,1.4576,1.4658,1.46123,1.45575,58.00586261705939,92.15325212653885,0.012623373764227603
EUR_USD,2011-06-06 21:00:00,1.46912,1.46963,1.45757,1.45638,58.15235708749814,85.75372693955633,0.012874699011382062
EUR_USD,2011-06-07 21:00:00,1.45834,1.46953,1.46915,1.45648,58.17631437123016,80.94620281999634,0.012929759209105648
EUR_USD,2011-06-08 21:00:00,1.45107,1.46536,1.45842,1.44776,55.31948410501691,75.1965469400339,0.012119807367284519
EUR_USD,2011-06-09 21:00:00,1.4347,1.45509,1.45103,1.43224,50.73254114773376,62.79225116900462,0.011161845893827628
EUR_USD,2011-06-10 21:00:00,1.4347,1.4347,1.4347,1.4347,51.39339759304685,51.60063717177945,0.009421476715062129
EUR_USD,2011-06-11 21:00:00,1.43265,1.4347,1.4347,1.42879,49.73538404896615,41.85293664251582,0.007537181372049704
EUR_USD,2011-06-12 21:00:00,1.4413,1.44302,1.43261,1.43214,50.66860551392212,40.5288819638308,0.008875745097639757
EUR_USD,2011-06-13 21:00:00,1.44404,1.44971,1.44132,1.43787,52.237670471007235,41.07962675450983,0.010614596078111823
EUR_USD,2011-06-14 21:00:00,1.41796,1.44516,1.44402,1.41563,46.32194833749766,29.474204458504754,0.009949676862489463
EUR_USD,2011-06-15 21:00:00,1.42046,1.42218,1.41798,1.4074,44.397225900630175,9.849701312129667,0.009269741489991582
EUR_USD,2011-06-16 21:00:00,1.4313,1.43395,1.42044,1.41278,45.91689354637495,-9.44158012808902,0.012725793191993282
EUR_USD,2011-06-17 21:00:00,1.4313,1.4313,1.4313,1.4313,50.713781951891505,-1.5876089060988263,0.013884634553594644
EUR_USD,2011-06-18 21:00:00,1.42758,1.4313,1.4313,1.42635,49.499863641380614,10.642142626653694,0.011107707642875716
EUR_USD,2011-06-19 21:00:00,1.4304,1.43278,1.42772,1.41916,47.78128948175012,14.759599870926076,0.01017216611430056
EUR_USD,2011-06-20 21:00:00,1.44116,1.44224,1.43042,1.43034,50.54330151461241,14.140045175863108,0.012753732891440446
EUR_USD,2011-06-21 21:00:00,1.43549,1.4442,1.44114,1.43417,51.45329731499523,19.186834462729802,0.012974986313152354
EUR_USD,2011-06-22 21:00:00,1.42567,1.43573,1.43547,1.41265,46.48204048009221,14.98547918683434,0.010691989050521886
EUR_USD,2011-06-23 21:00:00,1.41878,1.43064,1.42564,1.4142,46.86455681434243,4.569215876088904,0.0121515912404175
EUR_USD,2011-06-24 21:00:00,1.41878,1.41878,1.41878,1.41878,48.00062807388157,-5.363020329138603,0.010637272992334006
EUR_USD,2011-06-25 21:00:00,1.41938,1.42236,1.41878,1.4168,47.54599795673309,-2.684737011939442,0.009225818393867232
EUR_USD,2011-06-26 21:00:00,1.42873,1.42941,1.41933,1.41027,46.057716959105775,-5.2306914185578846,0.009902654715093788
EUR_USD,2011-06-27 21:00:00,1.4371,1.43972,1.42875,1.42376,49.439927820339754,-1.680573602532876,0.01381212377207507
EUR_USD,2011-06-28 21:00:00,1.4435,1.44481,1.43708,1.43284,51.55496397301424,12.428667397923585,0.015259699017660059
EUR_USD,2011-06-29 21:00:00,1.45018,1.45379,1.44355,1.44272,53.73353048538721,40.443067499476314,0.016397759214128053
EUR_USD,2011-06-30 21:00:00,1.45253,1.45519,1.45016,1.44366,53.93740554545597,59.38122276856976,0.01561220737130244
